Profundidad;;Densidad;Porosidad;K @ NMS;;Porosidad;K aire
(ft);(m);Granos g/cm3;@ NMS;(md);(mm2);Convencional;"""Convencional"""
6240.6;1529.66928;2.656;16.23508769;0.429437357;0.000423822;19.74948945;3.006971858
6242.3;1530.18744;2.632;15.89319714;0.761182401;0.000751228;20.13647755;7.583012857
6243.5;1530.5532;2.653;19.49984017;9.574794738;0.009449585;22.08841006;16.43435598
6244.7;1530.91896;2.65;23.67437417;80.7959598;0.079739391;26.50599545;105.3224916
6245.3;1531.10184;2.64;21.64158213;23.6471955;0.023337961;24.58098564;38.57417628
6246.4;1531.43712;2.638;22.88274238;112.6951962;0.111221481;24.69660616;141.6223463
6247.3;1531.71144;2.638;22.91113144;125.1337321;0.123497358;25.73054678;167.8266258
6248.6;1532.10768;2.654;23.10310372;220.0098991;0.21713283;26.48398195;319.7440623
6249.3;1532.32104;2.662;22.26125566;128.2628346;0.126585542;25.88801735;178.1212604
6250.1;1532.56488;2.656;25.24476018;1069.614632;1.055627281;28.15602837;1312.245226
6251.5;1532.9916;2.657;25.69149882;1532.578299;1.512536773;29.41996461;2131.718542
6252.3;1533.23544;2.657;23.66660047;697.7698154;0.68864508;28.33718647;1821.88301
6254.1;1533.78408;2.66;7.124818998;0.001876421;1.85188E-06;9.116788254;0.096438828
6256.5;1534.5156;2.65;11.37289701;0.053221579;5.25256E-05;13.45208845;0.424025266
6258.3;1535.06424;2.647;8.551875352;0.028232855;2.78637E-05;11.24800707;0.899303955
6261.9;1536.16152;2.612;10.4543438;0.325172439;0.00032092;14.45727659;4.869628203
6263.5;1536.6492;2.652;8.952994533;0.086025774;8.49008E-05;14.1966031;6.53818082
6267.9;1537.99032;2.648;22.93582392;239.5124851;0.23638038;24.9980333;300.1430939
6268.6;1538.20368;2.624;24.61238572;159.9245611;0.157833228;27.40219589;230.6605161
6282.3;1542.37944;2.667;8.563887854;0.009071866;8.95323E-06;10.73376192;0.961215512
6291.7;1545.24456;2.671;9.234066389;0.002383762;2.35259E-06;11.5084605;0.360020621
6294.1;1545.97608;2.667;9.094336001;0.002464754;2.43252E-06;11.25846298;0.163271281
6296.5;1546.7076;2.658;10.46851719;0.00597786;5.89969E-06;13.83380257;0.219933399
6298.6;1547.34768;2.653;26.72577379;118.5507356;0.117000448;30.83616223;187.195387
6301.5;1548.2316;2.662;28.28034849;246.3169361;0.24309585;32.74491448;314.4396621
6302.8;1548.62784;2.654;27.86673294;286.9894551;0.283236494;31.96940195;368.4555141
6303.7;1548.90216;2.646;25.31543444;83.2985442;0.082209249;28.63790596;112.671058
6304.6;1549.17648;2.637;26.62707068;268.422995;0.264912827;28.92735628;349.7871779
6305.7;1549.51176;2.648;27.45279071;743.5521963;0.733828764;31.74184803;938.9572535
6306.3;1549.69464;2.638;25.87520772;567.2650043;0.55984688;28.22893414;696.0142324
6308;1550.2128;2.64;24.41153163;108.286069;0.106870012;28.10869525;147.9248946
6309.3;1550.60904;2.636;26.01642615;302.2306384;0.298278368;28.26833516;385.225515
6310.2;1550.88336;2.634;28.72207344;1598.541694;1.577637564;31.91303289;1946.47872
6310.7;1551.03576;2.654;28.49593712;1134.508107;1.119672144;31.95287864;1273.187311
6311.3;1551.21864;2.638;29.81872445;2025.967986;1.999474403;32.92917523;2308.681915
6312.4;1551.55392;2.639;23.65955884;63.5954686;0.062763831;27.61887352;95.09309884
6313.7;1551.95016;2.649;23.14640571;21.07506294;0.020799464;27.31043183;39.18668817
6315.3;1552.43784;2.633;20.99250151;12.51361399;0.012349973;24.95456606;37.1932017
6317.8;1553.19984;2.64;23.31942021;29.56082722;0.02917426;26.9400284;47.87686345
6318.2;1553.32176;2.622;23.35990694;42.71463635;0.042156057;27.86244404;73.5278659
6323.4;1554.90672;2.657;4.722581875;0.002731032;2.69532E-06;11.20817772;0.211534642
6324.8;1555.33344;2.658;11.03297089;0.032935819;3.25051E-05;14.5527856;0.28742878
6325.9;1555.66872;2.644;16.33182347;0.836466731;0.000825528;20.21882488;2.319067727
6330.3;1557.00984;2.645;9.530300126;0.021212857;2.09355E-05;12.58448106;1.261109019
6331.4;1557.34512;2.639;25.08890196;93.21949593;0.092000465;28.9717424;146.563977
6332;1557.528;2.639;23.43208313;96.7218037;0.095456973;27.05196227;151.5099884
6332.6;1557.71088;2.612;23.3393698;56.37579442;0.055638568;28.09926583;88.0932629
6333.3;1557.92424;2.643;24.15418454;71.3264136;0.070393678;27.84338754;102.6096708
6333.8;1558.07664;2.636;26.04917317;348.2848345;0.343730314;28.4151941;435.0767581
6334.4;1558.25952;2.635;25.34981673;149.9960889;0.14803459;27.95736252;194.0781359
6334.5;1558.29;2.631;26.23679883;250.0198561;0.246750346;29.11157538;320.6488862
6336.2;1558.80816;2.627;24.45956944;94.23533053;0.093003015;28.49241088;141.7575307
6337.5;1559.2044;2.636;24.27577262;71.9357587;0.070995055;28.47768522;110.6259751
6338.6;1559.53968;2.64;22.41696939;45.25689365;0.044665069;26.08529156;76.99806881
6339.5;1559.814;2.627;23.00071312;51.12651273;0.050457931;26.42811537;78.63563612
6340.6;1560.14928;2.636;21.70341875;17.98890058;0.01775366;25.25363233;35.91860606
6341.5;1560.4236;2.656;25.06705613;308.8252052;0.304786698;28.78199564;404.3147078
6342.3;1560.66744;2.631;22.13764072;27.7987564;0.027435232;26.44264359;51.13027413
6343;1560.8808;2.627;23.18185731;63.23146238;0.062404585;27.28103772;97.22157983
6343.4;1561.00272;2.64;22.48743748;39.07256172;0.03856161;26.97900056;62.28292267
6344.3;1561.27704;2.631;22.34097849;36.64473545;0.036165532;26.66825404;66.31131738
6345.4;1561.61232;2.634;23.92386929;80.37957383;0.07932845;28.18507726;124.8394705
6346.3;1561.88664;2.63;25.46463492;104.6979515;0.103328816;29.45864423;174.6437332
6347.6;1562.28288;2.603;22.51002136;65.25451281;0.06440118;27.02443668;121.5236629
6348.2;1562.46576;2.63;25.13144897;306.1705793;0.302166787;29.78501743;451.8924478
6351.3;1563.41064;2.629;27.0616154;492.0563654;0.485621744;31.71662604;631.0072547
6352.4;1563.74592;2.636;19.59035361;12.18580638;0.012026453;23.68313758;29.45704095
